,acc,loss,val_acc,val_loss
0,0.1346518987341772,2.7590728725562115,0.12152777777777778,2.7293177445729575
1,0.23069620253164558,2.421716625479203,0.3819444444444444,2.0087394979265003
2,0.36418776371308015,2.012014861851302,0.47453703703703703,1.6053959749363087
3,0.4540084388185654,1.732766555633223,0.5891203703703703,1.2748330456239205
4,0.5145569620253164,1.5206229124391129,0.6516203703703703,1.1047113493636802
5,0.5725738396624472,1.353507610312997,0.6724537037037037,0.9929872353871664
6,0.6068565400843882,1.2421531399594077,0.7129629629629629,0.8500484592384763
7,0.642668776371308,1.1337675941644338,0.7453703703703703,0.7626654439502292
8,0.675210970464135,1.0355454869411163,0.7592592592592593,0.737164310835026
9,0.6958860759493671,0.9875500182059244,0.7962962962962963,0.6771547661887275

